x,y
4668.799836602937,8178.943846580302
4664.291292864004,8177.282977714142
4653.225977468558,8172.272934078439
4645.40139611814,8170.888712726975
4636.5446009338575,8168.880048959546
4595.188916513727,8161.754934161584
4592.074517783384,8161.605592537795
4588.857126064185,8161.182396624024
4581.195729166325,8160.84349352386
4565.090832770721,8161.802486405296
4550.500871893003,8165.492905205574
4548.441453841147,8166.330167112883
4538.709801830508,8168.96960046394
4537.1816544926305,8169.592747310981
4532.997267976357,8170.733698976911
4525.114036120067,8174.028569732652
4522.34063172632,8174.406741050927
4515.046222917057,8176.512844214148
4511.068284253015,8178.509112248831
4507.413194419006,8179.831377624546
4501.581590059991,8182.540234482971
4499.4841530299245,8183.730112750472
4490.696788171917,8187.009561706902
4482.123368281661,8190.768404975809
4469.941450189651,8197.87036456972
4460.568132992995,8207.811040356777
4454.0777678536,8219.798086158577
4453.222831168563,8221.339595397387
4452.367894483525,8222.88110304155
4451.512957798487,8224.42261058546
4450.804137806686,8226.110234822607
4450.101918952676,8227.804460513851
4448.753597195318,8231.27202689418
4444.194892165189,8244.67779275899
4442.473853985898,8258.780251706254
4444.937131469944,8273.433518320027
4449.187846443287,8287.913814641724
4452.609718699035,8293.575996449501
4453.209198293154,8295.28920700393
4461.257998306473,8309.172730636094
4470.575717346682,8322.16326810045
4482.56198738248,8332.444799767842
4496.730938655675,8341.154247328092
4565.590099005913,8377.50543374643
4579.89771000132,8384.66987101367
4594.508614247337,8388.193286302443
4610.456131619385,8388.273207434682
4625.249929864454,8387.86806486368
4638.52177059061,8382.896773502549
4651.6923507987985,8376.972289208654
4661.981165086082,8368.81281371031
4669.181525332991,8357.720994186957
4674.8361921832175,8345.861429563774
4676.903499796494,8333.692048903515
4674.931485148262,8319.748216965334
4673.826864618201,8315.156289860428
4683.867388864047,8313.737970134966
4688.241880216237,8312.063451653334
4691.776348511883,8309.923337134787
4696.595927306696,8308.450336930166
4698.5315186289845,8307.54326950566
4700.467109552995,8306.68039401523
4704.808504689107,8304.23868243722
4708.679687333683,8302.134517632901
4715.372158770703,8295.36597066464
4718.248180772665,8292.75245353626
4719.658825988028,8290.440191411262
4725.3014076236395,8281.726380992473
4726.712053217177,8279.681889124386
4727.65248308152,8278.282226183805
4728.538183030371,8274.801893671145
4731.250013906117,8266.230744963705
4731.085824017295,8260.197723761412
4731.39184946831,8253.393938156689
4730.232498936873,8246.891426766259
4730.177768973932,8244.880424646779
4728.9760650954495,8240.291824337277
4722.731269956353,8226.823763181
4720.161274465115,8222.332736342003
4717.105820394328,8218.476177878816
4714.446623217181,8213.934573845168
4712.825825835507,8212.086632913524
4711.167529279194,8210.238693957508
4706.765306923668,8205.982836223946
4703.4301097139,8202.27845885753
4693.731054337019,8194.63065384032
4689.824290295327,8191.2664369910535
4668.799836602937,8178.943846580302
